Title,Genres,Tags,Director,Screenwriter,Actors,url
When Life Gives You Tangerines,"['Romance', 'Life', 'Drama']","['Family Relationship', 'Nice Male Lead', 'Healthy Mains’ Relationship']",['Kim Won Suk'],['Im Sang Choon'],"['IU', 'Park Bo Gum', 'Moon So Ri']",['https://i.mydramalist.com/5v8b2y_4f.jpg']
Twinkling Watermelon,"['Romance', 'Youth', 'Drama']","['Time Travel', 'Child From The Future', 'Deafness']",['Son Jung Hyun'],['Jin Soo Wan'],"['Ryeo Un', 'Choi Hyun Wook', 'Seol In Ah']",['https://i.mydramalist.com/2w44jE_4f.jpg']
Move to Heaven,"['Life', 'Drama']","['Uncle-Nephew Relationship', 'Autism', 'Death']",['Kim Sung Ho'],['Yoon Ji Ryun'],"['Lee Je Hoon', 'Tang Jun Sang', 'Hong Seung Hee']",['https://i.mydramalist.com/Rle36_4f.jpg']
Weak Hero Class 1,"['Action', 'Youth', 'Drama']","['Student Male Lead', 'Teenager Male Lead', 'Violence']","['Park Dhan Hee', 'Yoo Su Min']",['Yoo Su Min'],"['Park Ji Hoon', 'Choi Hyun Wook', 'Hong Kyung']",['https://i.mydramalist.com/pq2lr_4f.jpg']
Alchemy of Souls,"['Action', 'Historical', 'Romance']","['Transmigration', 'Master-Disciple Relationship', 'Supernatural']",['Park Joon Hwa'],"['Hong Jeong Eun', 'Hong Mi Ran']","['Lee Jae Wook', 'Jung So Min', 'Hwang Min Hyun']",['https://i.mydramalist.com/Beg4z_4f.jpg']
Pursuit of Jade,"['Historical', 'Mystery', 'Romance']","['Fake To Real Lovers', 'Physically Strong Female Lead', 'Female Lead Saves Male Lead']",['Zeng Qing Jie'],['Zou Yue'],"['Zhang Ling He', 'Tian Xi Wei', 'Snow Kong']",['https://i.mydramalist.com/VXmvAx_4f.jpg']
The Trauma Code: Heroes on Call,"['Action', 'Comedy', 'Drama']","['Surgeon Male Lead', 'Hospital Setting', 'Mentor-Mentee Relationship']",['Lee Do Yoon'],['Choi Tae Gang'],"['Ju Ji Hoon', 'Choo Young Woo', 'Ha Young']",['https://i.mydramalist.com/735qBe_4f.jpg']
Hospital Playlist Season 2,"['Romance', 'Life', 'Drama']","['Multiple Mains', 'Band', 'Music']",['Shin Won Ho'],['Lee Woo Jung'],"['Jo Jung Suk', 'Yoo Yeon Seok', 'Jung Kyung Ho']",['https://i.mydramalist.com/dKY0d_4f.jpg']
Flower of Evil,"['Thriller', 'Romance', 'Crime']","['Detective Female Lead', 'Psychological', 'Family Secret']","['Kim Chul Gyu', 'Yoon Jong Ho']",['Yoo Jeong Hui'],"['Lee Joon Gi', 'Moon Chae Won', 'Jang Hee Jin']",['https://i.mydramalist.com/WAEAp_4f.jpg']
The Untamed Special Edition,"['Mystery', 'Wuxia', 'Fantasy']","['Bromance', 'Smart Male Lead', 'Censored Adaptation Of Same-sex Original Work']","['Steve Cheng', 'Chan Ka Lam']","['Deng Yao Yu', 'Yang Xia', 'Guo Guang Yun', 'Ma Jing']","['Xiao Zhan', 'Wang Yi Bo', 'Wang Zhuo Cheng']",['https://i.mydramalist.com/wlo1kf.jpg']
